zip_code,city,county,state,houston_area
77002,Houston,Harris,TX,Y
77003,Houston,Harris,TX,Y
77004,Houston,Harris,TX,Y
77005,Houston,Harris,TX,Y
77006,Houston,Harris,TX,Y
77007,Houston,Harris,TX,Y
77008,Houston,Harris,TX,Y
77009,Houston,Harris,TX,Y
77010,Houston,Harris,TX,Y
77011,Houston,Harris,TX,Y
77012,Houston,Harris,TX,Y
77013,Houston,Harris,TX,Y
77014,Houston,Harris,TX,Y
77015,Houston,Harris,TX,Y
77016,Houston,Harris,TX,Y
77017,Houston,Harris,TX,Y
77018,Houston,Harris,TX,Y
77019,Houston,Harris,TX,Y
77020,Houston,Harris,TX,Y
77021,Houston,Harris,TX,Y
77022,Houston,Harris,TX,Y
77023,Houston,Harris,TX,Y
77024,Houston,Harris,TX,Y
77025,Houston,Harris,TX,Y
77026,Houston,Harris,TX,Y
77027,Houston,Harris,TX,Y
77028,Houston,Harris,TX,Y
77029,Houston,Harris,TX,Y
77030,Houston,Harris,TX,Y
77031,Houston,Harris,TX,Y
77032,Houston,Harris,TX,Y
77033,Houston,Harris,TX,Y
77034,Houston,Harris,TX,Y
77035,Houston,Harris,TX,Y
77036,Houston,Harris,TX,Y
77037,Houston,Harris,TX,Y
77038,Houston,Harris,TX,Y
77039,Houston,Harris,TX,Y
77040,Houston,Harris,TX,Y
77041,Houston,Harris,TX,Y
77042,Houston,Harris,TX,Y
77043,Houston,Harris,TX,Y
77044,Houston,Harris,TX,Y
77045,Houston,Harris,TX,Y
77046,Houston,Harris,TX,Y
77047,Houston,Harris,TX,Y
77048,Houston,Harris,TX,Y
77049,Houston,Harris,TX,Y
77050,Houston,Harris,TX,Y
77051,Houston,Harris,TX,Y
77053,Houston,Fort Bend,TX,Y
77054,Houston,Harris,TX,Y
77055,Houston,Harris,TX,Y
77056,Houston,Harris,TX,Y
77057,Houston,Harris,TX,Y
77058,Houston,Harris,TX,Y
77059,Houston,Harris,TX,Y
77060,Houston,Harris,TX,Y
77061,Houston,Harris,TX,Y
77062,Houston,Harris,TX,Y
77063,Houston,Harris,TX,Y
77064,Houston,Harris,TX,Y
