zip_code,population,poverty_rate,unemp_rate,no_health_ins,snap,no_hs_diploma,distress_score,working_poor_score,distress_rank,working_poor_rank
77002,21015,13.4,2.3,11.1,3.2,14.2,53.07,30.50,116,95
77003,10164,19.3,7.1,14.7,14.1,7.9,60.60,21.51,136,64
77004,35997,28.2,11.6,12.7,15.1,5.6,67.92,5.03,151,10
77005,28874,4.2,4.9,3.5,0.3,1.6,8.93,0.99,2,2
77006,24892,8.5,3.6,6.5,2.9,1.5,31.21,9.31,48,17
77007,47808,5.1,2.2,6.8,1.6,1.4,17.63,12.56,8,27
77008,41645,8.5,2.8,5.4,3.6,4,21.66,13.77,25,40
77009,35769,11.8,4.5,15,11.7,21.6,48.40,41.63,108,127
77011,14940,20.9,9.6,31,15.7,40.9,78.51,63.96,169,167
77012,16286,27.3,6.2,36.9,20.2,42.9,82.77,84.57,176,182
77013,18259,29.6,11.5,34.1,22.5,32.8,83.62,58.00,178,157
77014,36119,26.3,9.4,25.5,22.8,20.8,71.48,44.32,158,135
77015,58415,18.1,7.2,29.2,23.3,30.5,65.12,64.38,143,168
77016,29841,24.5,13,26.5,23.4,24.9,74.13,39.42,164,120
77017,29640,23,8.5,39.6,27.1,39.9,79.22,82.42,170,181
77018,31031,11.6,4.8,12.8,8.4,7.5,31.96,21.78,50,65
77019,23708,9.1,5.4,6.9,3.3,1.7,31.04,4.94,47,9
77020,23686,26.2,10.8,27.6,24.3,34.4,84.09,57.26,179,156
77021,26153,29,11.7,21.5,22.1,16.9,83.37,29.52,177,92
77022,25805,24.7,8.6,32.1,26.6,32.7,80.78,67.66,173,175
77023,24281,14.5,7.6,21.8,14.8,25.7,65.48,45.24,144,136
77024,38288,5.3,3.5,4.1,1.7,2.3,20.17,7.38,17,11
77025,29715,10.5,3.5,8,2.8,6,40.25,15.50,77,45
77026,21981,30.8,14.4,27.7,31.9,31.4,94.31,49.55,186,145
77027,20317,7.6,4.2,8.9,2.6,1.8,31.49,9.79,49,21
77028,19109,33.4,16.3,28.4,40.4,26.7,92.87,46.24,184,139
77029,16154,28.4,11.2,32.3,23.2,38.5,82.71,63.67,175,165
77030,13380,12,2.7,2.5,3.3,1.6,41.36,8.77,79,14
77031,15179,25.6,8.6,34.2,23.3,32.1,79.45,66.41,172,172
77032,12403,30.5,9.4,24.6,41.9,32,87.08,69.53,181,177
77033,29154,33.4,14.7,29.5,35.3,28.7,89.30,50.07,183,147
77034,36456,21.2,7.3,33.6,19.4,29.9,70.23,64.44,155,169
77035,36019,22.2,8.5,23,18.1,20.1,69.84,40.43,154,125
77036,71770,29.5,5.9,46.8,23.2,45.4,97.71,99.11,188,191
77037,19004,31,5.2,36.8,18.9,47.8,72.89,91.45,161,187
77038,32637,21.5,3.9,36.2,22.9,35.2,66.40,84.75,148,183
77039,27862,24.1,5.5,37.2,20.2,41.3,74.99,85.23,165,184
77040,50977,21.1,6.6,20.6,13.9,22.3,56.54,42.90,126,131
77041,33349,13,5.5,19.8,7.8,16.9,39.63,35.20,76,110
77042,38721,17.7,8.7,25,14.7,10.4,62.29,29.06,140,89
77043,29048,14.8,5.5,21.7,9.4,15.7,47.27,36.87,102,117
77044,58347,13.8,7,21.2,12.9,15.4,43.87,34.41,89,106
77045,33563,23.7,10.1,25.9,16.7,25.1,64.74,42.45,142,130
77047,34987,14.4,8.1,18,16.6,11.5,47.05,27.15,100,80
77048,21151,26.9,12.6,14.9,25.5,16.1,69.54,22.78,152,69
77049,40418,20.1,8.4,28.4,16.7,25.1,59.77,49.62,134,146
77051,19795,37.8,16.8,20.6,35.3,18.9,97.42,25.94,187,77
77053,30198,15.6,5.7,27.8,17.5,27,53.51,59.50,117,158
77054,28272,19,6.4,13.3,7.2,2,58.25,11.00,128,24
77055,45435,20.9,5.8,25.7,11,21.5,59.72,46.75,133,140
77056,22877,8.6,5.4,10.9,2.5,1.8,36.16,8.00,64,13
77057,46569,18.5,5.7,24.8,5.9,15.1,59.37,35.78,132,113
77058,17850,13.2,5.1,15.2,7.3,6.7,44.12,21.39,91,62
77059,18767,3.9,6.1,5.9,0.5,3.3,10.65,1.54,3,3
77060,45340,34.7,8.8,43.5,24.7,45.9,98.13,89.39,190,185
77061,24004,22.4,6,34.8,20.6,33.5,77.67,73.91,167,179
77062,25523,9,4.5,9,7.6,6.3,28.13,17.43,40,53
77063,42690,18.6,10.2,24.3,11.7,10.5,66.76,21.90,149,67
77064,49591,11.3,5.7,18.3,15,19.1,42.88,41.01,85,126
77065,38926,12.8,7.6,15,15.6,10.2,47.97,23.83,106,73
77066,39311,11.4,5.5,21.2,16.2,23.3,43.75,49.41,88,144
77067,30491,25.1,6.1,30.7,27.9,29.7,73.02,71.58,162,178
77068,13189,10.4,8.4,16.8,5.8,12,40.27,17.53,78,54
77069,20608,14.1,6.9,10,7.7,4.5,38.84,9.56,71,19
77070,58229,13.3,7.8,16,8.9,8.2,45.11,17.00,93,51
77071,27056,13.2,8.8,19,20,16.2,58.85,33.42,130,104
77072,57108,23.4,6.7,28.3,23.3,29.3,71.45,63.80,157,166
77073,46084,14.7,5.3,24.1,16,22.5,48.36,51.60,107,149
77074,38660,27.1,4.8,42.2,23.5,42.5,88.46,95.45,182,190
77075,40626,16,8.4,27.1,17.8,29.1,59.20,53.41,131,151
77076,31222,27.2,3.8,37.5,20,44,79.32,93.07,171,188
77077,60098,12.2,7,13.7,8.4,4.8,47.00,13.40,98,38
77078,14247,34.2,16.3,34.1,36,30.5,97.76,51.90,189,150
77079,37276,11.5,3.1,14.7,6.5,3.5,32.07,22.86,51,70
77080,47638,25.6,6.2,32.5,14.3,28.8,67.67,61.66,150,162
77081,50129,31.8,5.2,45.5,22.4,46,100.00,100.00,191,192
77082,59412,16,7.6,22.7,14.8,11.5,56.29,31.42,125,100
