id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,rank,exclude
9386,77002,19616,15.60,85436.00,1.14,3.30,10.80,4.20,14.20,21.60,9.30,15.30,52.87,121,2
9387,77003,9721,18.70,88837.00,1.18,6.80,14.00,12.40,7.30,13.30,45.20,12.60,,,1
9388,77004,35866,29.70,65901.00,0.88,11.00,13.30,14.50,4.40,11.50,37.70,14.00,67.19,151,2
9389,77005,28231,3.60,215708.00,2.87,4.70,2.60,0.50,1.60,6.00,72.40,6.20,9.07,3,2
9390,77006,23927,9.50,102003.00,1.36,3.90,6.20,2.20,1.60,14.00,34.90,6.20,31.61,54,2
9391,77007,45337,5.50,140878.00,1.87,2.60,6.10,1.80,1.50,8.40,46.00,2.20,18.24,11,2
9392,77008,40155,8.30,142414.00,1.89,2.60,6.40,3.40,4.50,5.80,59.00,4.60,20.85,24,2
9393,77009,36107,11.30,81921.00,1.09,3.60,17.40,11.00,22.10,14.80,58.70,9.60,46.22,102,2
9394,77010,620,0.00,183681.00,2.51,0.00,4.80,0.00,0.00,33.80,0.00,7.40,,,1
9395,77011,15681,20.50,49163.00,0.65,8.60,31.90,13.30,40.60,16.70,51.20,14.00,76.24,170,2
9396,77012,16780,22.90,48287.00,0.64,5.20,38.40,18.80,41.40,12.60,41.50,11.50,76.41,172,2
9397,77013,17680,28.80,44530.00,0.59,10.40,32.30,23.10,33.50,16.50,40.70,9.30,82.55,177,2
9398,77014,36314,23.40,54456.00,0.72,8.90,27.00,21.10,18.90,8.40,49.90,7.70,66.34,149,2
9399,77015,58822,16.60,57324.00,0.76,7.30,29.30,23.90,30.50,8.60,52.40,6.00,63.70,144,2
9400,77016,29480,21.70,46411.00,0.62,12.90,26.10,23.50,24.90,11.90,62.10,8.00,72.39,163,2
9401,77017,30797,22.30,53750.00,0.71,7.70,38.70,24.00,40.90,8.40,50.80,9.10,76.36,171,2
9402,77018,29595,8.90,121658.00,1.62,4.50,11.60,8.60,8.00,9.10,71.10,4.40,28.69,42,2
9403,77019,23662,10.10,108353.00,1.44,6.00,6.40,4.50,1.60,10.80,41.20,5.10,32.44,57,2
9404,77020,25583,27.60,49481.00,0.66,9.50,29.80,22.30,34.70,9.80,52.00,15.50,81.52,176,2
9405,77021,24884,28.70,45034.00,0.60,9.30,20.60,21.10,13.30,14.20,39.80,21.20,78.85,174,2
9406,77022,26135,26.80,48386.00,0.64,11.30,31.80,29.60,36.80,14.80,47.90,17.10,88.99,183,2
9407,77023,24962,19.30,50018.00,0.66,6.80,23.50,13.70,25.10,13.70,44.40,15.40,67.49,152,2
9408,77024,37647,5.70,142039.00,1.89,3.70,4.60,1.90,2.40,13.30,62.10,4.90,19.95,20,2
9409,77025,29177,11.60,78076.00,1.04,4.20,8.10,2.90,5.40,9.00,40.80,13.10,41.11,85,2
9410,77026,20536,33.20,34835.00,0.46,10.20,31.90,27.80,30.40,15.90,40.20,16.90,91.51,186,2
9411,77027,19269,7.80,102861.00,1.37,3.00,9.00,3.10,1.70,14.40,29.20,3.00,29.13,45,2
9412,77028,18379,34.40,36244.00,0.48,12.50,28.00,38.60,30.60,13.00,56.00,10.80,90.08,185,2
9413,77029,15931,24.50,49601.00,0.66,9.60,27.30,24.90,38.30,14.30,68.80,7.70,73.99,167,2
9414,77030,12976,11.70,79415.00,1.06,3.60,3.50,2.00,1.30,17.30,35.60,10.90,37.74,73,2
9415,77031,15740,23.60,46892.00,0.62,7.60,36.40,20.80,32.50,12.10,44.40,9.10,74.92,169,2
9416,77032,13536,34.10,36731.00,0.49,7.10,29.10,39.20,35.90,9.20,34.90,13.60,89.66,184,2
9417,77033,28079,34.00,37081.00,0.49,13.60,30.10,32.40,27.50,8.00,59.10,8.90,86.52,181,2
9418,77034,37185,21.80,59516.00,0.79,6.90,34.40,19.10,30.20,12.60,50.10,7.00,67.73,153,2
9419,77035,34849,21.90,57691.00,0.77,9.00,22.60,18.10,20.40,10.70,40.60,12.60,68.41,154,2
9420,77036,71036,28.00,43853.00,0.58,5.80,47.80,23.10,45.20,13.60,17.60,20.40,95.23,189,2
9421,77037,17806,32.90,46176.00,0.61,2.90,33.50,17.00,48.70,4.20,71.10,3.90,69.85,158,2
9422,77038,31271,25.30,50655.00,0.67,3.80,36.80,23.20,35.20,3.80,57.30,8.20,69.19,156,2
9423,77039,28335,25.00,44567.00,0.59,3.70,36.60,20.30,42.20,7.40,59.90,10.10,72.36,161,2
