id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,distress_rank,exclude,population_score
40539,77002,21015,13.40,86394.00,1.12,2.30,11.10,3.20,14.20,19.00,8.20,16.30,53.07,117,2,
40540,77003,10164,19.30,83980.00,1.09,7.10,14.70,14.10,7.90,13.80,41.00,19.10,60.60,137,2,
40541,77004,35997,28.20,71199.00,0.92,11.60,12.70,15.10,5.60,11.90,38.20,14.90,67.92,152,2,19.87
40542,77005,28874,4.20,229267.00,2.97,4.90,3.50,0.30,1.60,6.30,71.90,6.70,8.93,3,2,14.39
40543,77006,24892,8.50,106533.00,1.38,3.60,6.50,2.90,1.50,13.70,34.60,6.10,31.21,49,2,11.33
40544,77007,47808,5.10,144911.00,1.88,2.20,6.80,1.60,1.40,8.30,46.20,2.00,17.63,9,2,28.96
40545,77008,41645,8.50,143229.00,1.86,2.80,5.40,3.60,4.00,6.90,59.10,4.50,21.66,26,2,24.22
40546,77009,35769,11.80,83148.00,1.08,4.50,15.00,11.70,21.60,15.20,57.60,9.80,48.40,109,2,19.70
40547,77010,718,0.00,189315.00,2.45,0.00,0.00,0.00,0.00,41.00,0.00,4.10,,,1,
40548,77011,14940,20.90,50133.00,0.65,9.60,31.00,15.70,40.90,17.50,52.20,13.00,78.51,170,2,3.67
40549,77012,16286,27.30,45025.00,0.58,6.20,36.90,20.20,42.90,11.10,37.90,10.90,82.77,177,2,4.71
40550,77013,18259,29.60,47060.00,0.61,11.50,34.10,22.50,32.80,16.70,41.90,8.00,83.62,179,2,6.23
40551,77014,36119,26.30,55589.00,0.72,9.40,25.50,22.80,20.80,8.00,50.20,10.40,71.48,159,2,19.97
40552,77015,58415,18.10,57753.00,0.75,7.20,29.20,23.30,30.50,9.40,53.20,6.60,65.12,144,2,37.12
40553,77016,29841,24.50,47677.00,0.62,13.00,26.50,23.40,24.90,11.60,61.20,8.50,74.13,165,2,15.14
40554,77017,29640,23.00,51079.00,0.66,8.50,39.60,27.10,39.90,8.80,51.00,8.70,79.22,171,2,14.98
40555,77018,31031,11.60,127017.00,1.65,4.80,12.80,8.40,7.50,9.50,67.50,5.40,31.96,51,2,16.05
40556,77019,23708,9.10,116423.00,1.51,5.40,6.90,3.30,1.70,11.30,37.60,5.20,31.04,48,2,10.42
40557,77020,23686,26.20,50119.00,0.65,10.80,27.60,24.30,34.40,11.00,53.80,17.20,84.09,180,2,10.40
40558,77021,26153,29.00,45574.00,0.59,11.70,21.50,22.10,16.90,13.30,41.80,20.30,83.37,178,2,12.30
40559,77022,25805,24.70,52739.00,0.68,8.60,32.10,26.60,32.70,12.50,50.40,14.70,80.78,174,2,12.03
40560,77023,24281,14.50,51430.00,0.67,7.60,21.80,14.80,25.70,11.70,48.10,15.10,65.48,145,2,10.86
