id_no,zip_code,claim_amount,filings_count,amount_per_filing,exclude,evictions_score,rank
12978,77002,2134265.35,936,2280.198024,2,38.0236,19
12979,77003,1860213.91,282,6596.503227,2,11.4274,94
12980,77004,2189993.19,928,2359.906455,2,37.6983,20
12981,77005,97651.22,31,3150.039355,2,1.2200,130
12982,77006,1007119.72,497,2026.397827,2,20.1708,62
12983,77007,1369085.13,587,2332.342641,2,23.8308,49
12984,77008,939327.07,386,2433.489819,2,15.6568,79
12985,77009,1123342.63,463,2426.225983,2,18.7881,67
12986,77010,112802.18,30,3760.072667,2,1.1793,131
12987,77011,392503.38,236,1663.149915,2,9.5567,105
12988,77012,327068.79,191,1712.402042,2,7.7267,110
12989,77013,891032.67,547,1628.944552,2,22.2041,53
12990,77014,1977225.92,1083,1825.69337,2,44.0016,13
12991,77015,1695155.17,810,2092.78416,2,32.8996,28
12992,77016,905137.88,433,2090.387714,2,17.5681,71
12993,77017,555482.25,351,1582.570513,2,14.2334,83
12994,77018,688926.09,308,2236.773019,2,12.4847,93
12995,77019,1048374.27,432,2426.792292,2,17.5275,72
12996,77020,1040728.82,473,2200.272347,2,19.1948,65
12997,77021,2103186.19,960,2190.818948,2,38.9996,18
12998,77022,635500.46,268,2371.270373,2,10.8581,99
12999,77023,661591.97,432,1531.462894,2,17.5275,72
13000,77024,941699.58,311,3027.972926,2,12.6068,91
13001,77025,1127472.8,602,1872.878405,2,24.4408,48
13002,77026,1187580.71,618,1921.651634,2,25.0915,44
13003,77027,1182927.59,463,2554.919201,2,18.7881,67
13004,77028,845657.57,358,2362.171983,2,14.5181,81
13005,77029,216475.05,108,2004.398611,2,4.3514,120
13006,77030,227618.17,102,2231.550686,2,4.1074,123
13007,77031,446000.34,266,1676.693008,2,10.7767,101
13008,77032,550999.8,220,2504.544545,2,8.9061,107
13009,77033,919882.99,341,2697.604076,2,13.8268,86
13010,77034,2002422.61,1592,1257.803147,2,64.7011,6
13011,77035,1688545.88,879,1920.985074,2,35.7056,25
13012,77036,1672165.24,1033,1618.746602,2,41.9683,15
13013,77037,134574.26,60,2242.904333,2,2.3993,127
13014,77038,844750.54,419,2016.111074,2,16.9988,75
13015,77039,538018.74,213,2525.909577,2,8.6214,108
13016,77040,2036219.5,903,2254.949612,2,36.6816,23
13017,77041,617284.82,200,3086.4241,2,8.0927,109
13018,77042,2987218.78,1701,1756.154486,2,69.1338,4
13019,77043,722703.34,309,2338.845761,2,12.5254,92
13020,77044,1552339.15,614,2528.239658,2,24.9288,46
13021,77045,1084988.15,429,2529.109907,2,17.4054,74
13022,77046,103568.02,36,2876.889444,2,1.4233,129
13023,77047,1587518.25,709,2239.094852,2,28.7922,41
13024,77048,1341447.33,509,2635.456444,2,20.6588,60
13025,77049,1037361.57,470,2207.152277,2,19.0728,66
13026,77050,40207,23,1748.130435,2,0.8947,132
13027,77051,1488809.96,546,2726.758168,2,22.1635,54
13028,77053,323508.24,116,2788.864138,2,4.6767,119
13029,77054,4178104.7,1662,2513.901745,2,67.5478,5
13030,77055,1092902.62,514,2126.269689,2,20.8621,59
13031,77056,1848435.33,748,2471.170227,2,30.3782,35
13032,77057,2007303.3,978,2052.457362,2,39.7316,16
13033,77058,1055170.89,627,1682.888182,2,25.4575,43
13034,77059,42299.03,11,3845.366364,2,0.4067,136
13035,77060,2094250.26,1177,1779.312031,2,47.8243,12
13036,77061,810918.36,407,1992.428403,2,16.5108,76
13037,77062,369870.82,169,2188.584734,2,6.8320,112
13038,77063,2642893.37,1434,1843.021876,2,58.2757,10
13039,77064,1114827.23,557,2001.485153,2,22.6108,52
13040,77065,1491277.13,837,1781.693106,2,33.9976,27
13041,77066,824398.74,393,2097.706718,2,15.9414,78
13042,77067,1490395.2,759,1963.63004,2,30.8255,33
13043,77068,680400.93,394,1726.905914,2,15.9821,77
13044,77069,1261025.05,740,1704.087905,2,30.0529,36
13045,77070,3136879.11,1559,2012.109756,2,63.3591,8
13046,77071,673076.46,348,1934.127759,2,14.1114,84
13047,77072,1195723.18,520,2299.467654,2,21.1061,57
13048,77073,2124709.71,1051,2021.607716,2,42.7003,14
13049,77074,768458.43,493,1558.739209,2,20.0081,64
13050,77075,1119422.41,531,2108.140132,2,21.5535,55
13051,77076,723730.66,327,2213.243609,2,13.2574,87
13052,77077,4748478.8,2366,2006.964835,2,96.1773,2
13053,77078,595916.17,261,2283.203716,2,10.5734,102
13054,77079,1516783.25,711,2133.309775,2,28.8735,40
13055,77080,1084470.78,573,1892.619162,2,23.2615,50
13056,77081,958003.11,646,1482.97695,2,26.2302,42
13057,77082,4218541.25,1958,2154.515449,2,79.5852,3
13058,77083,810143.58,367,2207.475695,2,14.8841,80
13059,77084,3113319.01,1462,2129.493167,2,59.4144,9
13060,77085,351120.62,173,2029.59896,2,6.9947,111
13061,77086,607973.72,256,2374.897344,2,10.3701,104
13062,77087,549824.4,236,2329.764407,2,9.5567,105
13063,77088,1341354.55,562,2386.751868,2,22.8142,51
13064,77089,1040449.12,497,2093.458994,2,20.1708,62
13065,77090,4928089.26,2460,2003.288317,2,100.0000,1
13066,77091,1425206.25,530,2689.068396,2,21.5128,56
13067,77092,1378427.44,610,2259.717115,2,24.7662,47
13068,77093,575252.37,267,2154.503258,2,10.8174,100
13069,77094,277349.47,86,3224.993837,2,3.4567,125
13070,77095,1660358.03,615,2699.769154,2,24.9695,45
13071,77096,1634900.43,870,1879.195897,2,35.3396,26
13072,77098,704964.04,275,2563.5056,2,11.1427,97
13073,77099,1593145.92,914,1743.048053,2,37.1289,22
13074,77259,0,1,0,2,0.0000,142
13075,77266,1234,1,1234,2,0.0000,142
13076,77301,10000,1,10000,2,0.0000,142
13077,77336,209677.4,132,1588.465152,2,5.3274,116
13078,77337,0,1,0,2,0.0000,142
13079,77338,2412790.87,893,2701.893471,2,36.2749,24
13080,77339,491154.38,257,1911.106537,2,10.4107,103
13081,77345,207470.33,107,1938.975047,2,4.3107,122
13082,77346,1763088.9,713,2472.775456,2,28.9549,39
13083,77357,0,1,0,2,0.0000,142
13084,77365,24337.07,6,4056.178333,2,0.2033,137
13085,77367,1149,1,1149,2,0.0000,142
13086,77371,2794.32,1,2794.32,2,0.0000,142
13087,77373,1926584,807,2387.340768,2,32.7776,29
13088,77375,1698583.76,760,2234.978632,2,30.8662,32
13089,77377,337644.8,150,2250.965333,2,6.0594,113
13090,77379,1976291.07,971,2035.315211,2,39.4469,17
13091,77381,0,1,0,2,0.0000,142
13092,77382,18450,1,18450,2,0.0000,142
13093,77383,0,1,0,2,0.0000,142
13094,77386,1195,2,597.5,2,0.0407,139
13095,77388,1742867.6,758,2299.297625,2,30.7849,34
13096,77389,659881.02,327,2017.984771,2,13.2574,87
13097,77396,3066118.6,1351,2269.517839,2,54.9004,11
13098,77401,48699.85,15,3246.656667,2,0.5693,134
13099,77407,2100,1,2100,2,0.0000,142
13100,77429,1582582.73,783,2021.178455,2,31.8015,30
13101,77430,5000,1,5000,2,0.0000,142
13102,77433,2290027.19,782,2928.423517,2,31.7609,31
13103,77437,2750,1,2750,2,0.0000,142
13104,77447,343628.02,117,2936.991624,2,4.7174,118
13105,77449,3843458.16,1575,2440.290895,2,64.0098,7
13106,77450,944086.16,314,3006.643822,2,12.7288,90
13107,77459,3500,2,1750,2,0.0407,139
13108,77469,323.38,1,323.38,2,0.0000,142
13109,77477,322474.23,108,2985.8725,2,4.3514,120
13110,77480,2995,1,2995,2,0.0000,142
13111,77484,97227.06,46,2113.631739,2,1.8300,128
13112,77489,0,1,0,2,0.0000,142
13113,77493,1698719.7,520,3266.768654,2,21.1061,57
13114,77494,1308197.36,502,2605.970837,2,20.3741,61
13115,77498,1975,2,987.5,2,0.0407,139
13116,77502,544822.27,321,1697.265639,2,13.0134,89
13117,77503,620940.75,440,1411.228977,2,17.8528,69
13118,77504,774566.17,356,2175.747669,2,14.4368,82
13119,77505,200883.56,93,2160.03828,2,3.7414,124
13120,77506,722428.74,439,1645.623554,2,17.8121,70
13121,77507,16356.92,5,3271.384,2,0.1627,138
13122,77518,2500,1,2500,2,0.0000,142
13123,77520,1330409.75,722,1842.672784,2,29.3209,38
13124,77521,1648514.18,927,1778.332449,2,37.6576,21
13125,77523,36793.36,14,2628.097143,2,0.5287,135
13126,77526,1574.99,1,1574.99,2,0.0000,142
13127,77530,656041.87,282,2326.38961,2,11.4274,94
13128,77531,450,1,450,2,0.0000,142
13129,77532,473369.37,277,1708.914693,2,11.2241,96
13130,77536,237603.28,122,1947.567869,2,4.9207,117
13131,77545,1862,1,1862,2,0.0000,142
13132,77546,344362.11,138,2495.377609,2,5.5714,115
13133,77547,45223.97,21,2153.522381,2,0.8133,133
13134,77551,1456,1,1456,2,0.0000,142
13135,77562,131850,69,1910.869565,2,2.7654,126
13136,77568,148.91,1,148.91,2,0.0000,142
13137,77571,1022146.05,345,2962.742174,2,13.9894,85
13138,77580,0,1,0,2,0.0000,142
13139,77581,8100,1,8100,2,0.0000,142
13140,77584,20000,1,20000,2,0.0000,142
13141,77586,513821.7,269,1910.117844,2,10.8987,98
13142,77587,344830.66,145,2378.142483,2,5.8560,114
13143,77589,1285,1,1285,2,0.0000,142
13144,77598,1160666.17,726,1598.713733,2,29.4835,37
