id_no,zip_code,population,poverty_rate,unemp_rate,no_health_ins,snap,no_hs_diploma,distress_score,distress_rank,working_poor_score,working_poor_rank
9615,77002,19616,15.60,3.30,10.80,4.20,14.20,52.87,121,31.30,82
9616,77004,35866,29.70,11.00,13.30,14.50,4.40,67.19,151,6.27,5
9617,77005,28231,3.60,4.70,2.60,0.50,1.60,9.07,3,4.40,4
9618,77006,23927,9.50,3.90,6.20,2.20,1.60,31.61,54,11.87,13
9619,77007,45337,5.50,2.60,6.10,1.80,1.50,18.24,11,15.90,29
9620,77008,40155,8.30,2.60,6.40,3.40,4.50,20.85,24,20.26,48
9621,77009,36107,11.30,3.60,17.40,11.00,22.10,46.22,102,49.12,141
9622,77011,15681,20.50,8.60,31.90,13.30,40.60,76.24,170,63.46,161
9623,77012,16780,22.90,5.20,38.40,18.80,41.40,76.41,172,86.57,181
9624,77013,17680,28.80,10.40,32.30,23.10,33.50,82.55,177,59.27,153
9625,77014,36314,23.40,8.90,27.00,21.10,18.90,66.34,149,44.74,133
9626,77015,58822,16.60,7.30,29.30,23.90,30.50,63.70,144,65.38,165
9627,77016,29480,21.70,12.90,26.10,23.50,24.90,72.39,163,37.42,105
9628,77017,30797,22.30,7.70,38.70,24.00,40.90,76.36,171,82.00,179
9629,77018,29595,8.90,4.50,11.60,8.60,8.00,28.69,42,25.85,66
9630,77019,23662,10.10,6.00,6.40,4.50,1.60,32.44,57,6.62,6
9631,77020,25583,27.60,9.50,29.80,22.30,34.70,81.52,176,60.61,156
9632,77021,24884,28.70,9.30,20.60,21.10,13.30,78.85,174,32.48,89
9633,77022,26135,26.80,11.30,31.80,29.60,36.80,88.99,183,64.16,164
9634,77023,24962,19.30,6.80,23.50,13.70,25.10,67.49,152,48.40,139
9635,77024,37647,5.70,3.70,4.60,1.90,2.40,19.95,20,11.61,10
9636,77025,29177,11.60,4.20,8.10,2.90,5.40,41.11,85,16.58,32
9637,77026,20536,33.20,10.20,31.90,27.80,30.40,91.51,186,60.74,157
9638,77027,19269,7.80,3.00,9.00,3.10,1.70,29.13,45,18.38,42
9639,77028,18379,34.40,12.50,28.00,38.60,30.60,90.08,185,58.46,152
9640,77029,15931,24.50,9.60,27.30,24.90,38.30,73.99,167,63.49,162
9641,77030,12976,11.70,3.60,3.50,2.00,1.30,37.74,73,10.05,8
9642,77031,15740,23.60,7.60,36.40,20.80,32.50,74.92,169,69.91,174
9643,77032,13536,34.10,7.10,29.10,39.20,35.90,89.66,184,83.73,180
9644,77033,28079,34.00,13.60,30.10,32.40,27.50,86.52,181,48.43,140
9645,77034,37185,21.80,6.90,34.40,19.10,30.20,67.73,153,67.04,169
9646,77035,34849,21.90,9.00,22.60,18.10,20.40,68.41,154,39.29,112
9647,77036,71036,28.00,5.80,47.80,23.10,45.20,95.23,189,100.00,191
9648,77037,17806,32.90,2.90,33.50,17.00,48.70,69.85,158,95.39,187
9649,77038,31271,25.30,3.80,36.80,23.20,35.20,69.19,156,88.08,182
9650,77039,28335,25.00,3.70,36.60,20.30,42.20,72.36,161,92.21,185
9651,77040,50446,19.90,5.60,20.80,11.30,21.20,52.67,120,44.59,132
9652,77041,33180,13.50,5.10,21.30,9.00,16.00,39.40,76,40.10,116
9653,77042,40725,15.90,10.00,26.60,14.10,11.30,62.24,141,27.68,73
