id_no,zip_code,population,poverty_rate,unemp_rate,no_health_ins,snap,no_hs_diploma,distress_score,distress_rank,working_poor_score,working_poor_rank
40768,77002,21015,13.40,2.30,11.10,3.20,14.20,53.07,117,30.50,95
40769,77003,10164,19.30,7.10,14.70,14.10,7.90,60.60,137,21.51,64
40770,77004,35997,28.20,11.60,12.70,15.10,5.60,67.92,152,5.03,10
40771,77005,28874,4.20,4.90,3.50,0.30,1.60,8.93,3,0.99,2
40772,77006,24892,8.50,3.60,6.50,2.90,1.50,31.21,49,9.31,17
40773,77007,47808,5.10,2.20,6.80,1.60,1.40,17.63,9,12.56,27
40774,77008,41645,8.50,2.80,5.40,3.60,4.00,21.66,26,13.77,40
40775,77009,35769,11.80,4.50,15.00,11.70,21.60,48.40,109,41.63,127
40776,77011,14940,20.90,9.60,31.00,15.70,40.90,78.51,170,63.96,167
40777,77012,16286,27.30,6.20,36.90,20.20,42.90,82.77,177,84.57,182
40778,77013,18259,29.60,11.50,34.10,22.50,32.80,83.62,179,58.00,157
40779,77014,36119,26.30,9.40,25.50,22.80,20.80,71.48,159,44.32,135
40780,77015,58415,18.10,7.20,29.20,23.30,30.50,65.12,144,64.38,168
40781,77016,29841,24.50,13.00,26.50,23.40,24.90,74.13,165,39.42,120
40782,77017,29640,23.00,8.50,39.60,27.10,39.90,79.22,171,82.42,181
40783,77018,31031,11.60,4.80,12.80,8.40,7.50,31.96,51,21.78,65
40784,77019,23708,9.10,5.40,6.90,3.30,1.70,31.04,48,4.94,9
40785,77020,23686,26.20,10.80,27.60,24.30,34.40,84.09,180,57.26,156
40786,77021,26153,29.00,11.70,21.50,22.10,16.90,83.37,178,29.52,92
40787,77022,25805,24.70,8.60,32.10,26.60,32.70,80.78,174,67.66,175
40788,77023,24281,14.50,7.60,21.80,14.80,25.70,65.48,145,45.24,136
40789,77024,38288,5.30,3.50,4.10,1.70,2.30,20.17,18,7.38,11
40790,77025,29715,10.50,3.50,8.00,2.80,6.00,40.25,78,15.50,45
40791,77026,21981,30.80,14.40,27.70,31.90,31.40,94.31,187,49.55,145
40792,77027,20317,7.60,4.20,8.90,2.60,1.80,31.49,50,9.79,21
40793,77028,19109,33.40,16.30,28.40,40.40,26.70,92.87,185,46.24,139
40794,77029,16154,28.40,11.20,32.30,23.20,38.50,82.71,176,63.67,165
40795,77030,13380,12.00,2.70,2.50,3.30,1.60,41.36,80,8.77,14
40796,77031,15179,25.60,8.60,34.20,23.30,32.10,79.45,173,66.41,172
40797,77032,12403,30.50,9.40,24.60,41.90,32.00,87.08,182,69.53,177
40798,77033,29154,33.40,14.70,29.50,35.30,28.70,89.30,184,50.07,147
40799,77034,36456,21.20,7.30,33.60,19.40,29.90,70.23,156,64.44,169
40800,77035,36019,22.20,8.50,23.00,18.10,20.10,69.84,155,40.43,125
40801,77036,71770,29.50,5.90,46.80,23.20,45.40,97.71,189,99.11,191
40802,77037,19004,31.00,5.20,36.80,18.90,47.80,72.89,162,91.45,187
40803,77038,32637,21.50,3.90,36.20,22.90,35.20,66.40,149,84.75,183
40804,77039,27862,24.10,5.50,37.20,20.20,41.30,74.99,166,85.23,184
40805,77040,50977,21.10,6.60,20.60,13.90,22.30,56.54,127,42.90,131
40806,77041,33349,13.00,5.50,19.80,7.80,16.90,39.63,77,35.20,110
40807,77042,38721,17.70,8.70,25.00,14.70,10.40,62.29,141,29.06,89
40808,77043,29048,14.80,5.50,21.70,9.40,15.70,47.27,103,36.87,117
40809,77044,58347,13.80,7.00,21.20,12.90,15.40,43.87,90,34.41,106
40810,77045,33563,23.70,10.10,25.90,16.70,25.10,64.74,143,42.45,130
40811,77047,34987,14.40,8.10,18.00,16.60,11.50,47.05,101,27.15,80
40812,77048,21151,26.90,12.60,14.90,25.50,16.10,69.54,153,22.78,69
40813,77049,40418,20.10,8.40,28.40,16.70,25.10,59.77,135,49.62,146
40814,77051,19795,37.80,16.80,20.60,35.30,18.90,97.42,188,25.94,77
40815,77053,30198,15.60,5.70,27.80,17.50,27.00,53.51,118,59.50,158
40816,77054,28272,19.00,6.40,13.30,7.20,2.00,58.25,129,11.00,24
40817,77055,45435,20.90,5.80,25.70,11.00,21.50,59.72,134,46.75,140
40818,77056,22877,8.60,5.40,10.90,2.50,1.80,36.16,65,8.00,13
40819,77057,46569,18.50,5.70,24.80,5.90,15.10,59.37,133,35.78,113
40820,77058,17850,13.20,5.10,15.20,7.30,6.70,44.12,92,21.39,62
40821,77059,18767,3.90,6.10,5.90,0.50,3.30,10.65,4,1.54,3
40822,77060,45340,34.70,8.80,43.50,24.70,45.90,98.13,191,89.39,185
40823,77061,24004,22.40,6.00,34.80,20.60,33.50,77.67,168,73.91,179
40824,77062,25523,9.00,4.50,9.00,7.60,6.30,28.13,41,17.43,53
40825,77063,42690,18.60,10.20,24.30,11.70,10.50,66.76,150,21.90,67
40826,77064,49591,11.30,5.70,18.30,15.00,19.10,42.88,86,41.01,126
40827,77065,38926,12.80,7.60,15.00,15.60,10.20,47.97,107,23.83,73
40828,77066,39311,11.40,5.50,21.20,16.20,23.30,43.75,89,49.41,144
40829,77067,30491,25.10,6.10,30.70,27.90,29.70,73.02,163,71.58,178
40830,77068,13189,10.40,8.40,16.80,5.80,12.00,40.27,79,17.53,54
40831,77069,20608,14.10,6.90,10.00,7.70,4.50,38.84,72,9.56,19
40832,77070,58229,13.30,7.80,16.00,8.90,8.20,45.11,94,17.00,51
40833,77071,27056,13.20,8.80,19.00,20.00,16.20,58.85,131,33.42,104
40834,77072,57108,23.40,6.70,28.30,23.30,29.30,71.45,158,63.80,166
40835,77073,46084,14.70,5.30,24.10,16.00,22.50,48.36,108,51.60,149
40836,77074,38660,27.10,4.80,42.20,23.50,42.50,88.46,183,95.45,190
40837,77075,40626,16.00,8.40,27.10,17.80,29.10,59.20,132,53.41,151
40838,77076,31222,27.20,3.80,37.50,20.00,44.00,79.32,172,93.07,188
40839,77077,60098,12.20,7.00,13.70,8.40,4.80,47.00,99,13.40,38
40840,77078,14247,34.20,16.30,34.10,36.00,30.50,97.76,190,51.90,150
40841,77079,37276,11.50,3.10,14.70,6.50,3.50,32.07,52,22.86,70
40842,77080,47638,25.60,6.20,32.50,14.30,28.80,67.67,151,61.66,162
40843,77081,50129,31.80,5.20,45.50,22.40,46.00,100.00,192,100.00,192
40844,77082,59412,16.00,7.60,22.70,14.80,11.50,56.29,126,31.42,100
40845,77083,73230,15.70,7.70,21.00,19.30,21.90,55.72,125,43.74,132
40846,77084,110217,12.80,6.30,19.40,13.90,16.00,44.83,93,36.22,116
40847,77085,16513,17.00,6.10,28.70,14.40,36.60,57.50,128,66.68,173
40848,77086,28653,14.50,9.20,34.70,21.10,31.80,65.81,146,63.14,164
40849,77087,34347,22.00,10.50,33.20,22.20,37.40,75.51,167,64.62,170
40850,77088,57047,22.70,9.90,26.80,20.50,25.80,69.62,154,47.43,141
40851,77089,57741,13.20,6.80,16.80,12.50,15.20,41.92,83,30.56,96
40852,77090,40110,23.10,8.90,22.80,18.50,10.90,66.34,148,29.92,93
40853,77091,28728,39.60,8.40,28.90,29.20,27.30,93.20,186,61.80,163
40854,77092,36938,21.30,5.60,35.70,12.80,24.90,64.58,142,61.10,159
40855,77093,46407,29.60,5.90,38.30,24.20,46.70,81.86,175,93.64,189
40856,77094,10395,6.80,5.70,6.20,2.40,1.30,17.76,10,2.35,5
40857,77095,69767,5.20,6.20,11.20,5.80,8.00,27.71,38,14.83,42
40858,77096,35032,13.70,4.20,15.30,13.70,10.20,45.70,96,32.55,103
40859,77098,17210,9.60,4.50,8.80,1.60,1.40,32.54,55,7.65,12
40860,77099,50064,25.30,10.70,35.10,23.10,27.60,78.35,169,56.32,155
40861,77301,37769,17.10,4.50,27.80,12.60,23.40,53.69,119,55.57,154
40862,77302,21546,13.30,3.40,21.70,11.10,11.80,36.45,68,40.25,122
40863,77303,28854,18.90,8.80,21.50,13.30,12.00,47.52,106,26.24,79
40864,77304,44225,8.20,3.00,14.40,5.00,7.20,32.49,54,25.56,76
40865,77306,18086,15.30,1.30,33.70,20.00,37.90,49.97,112,90.67,186
40866,77316,34694,6.40,5.10,9.20,5.10,5.40,20.81,22,13.04,34
40867,77318,20792,6.60,3.20,11.20,6.90,9.10,27.22,37,25.52,75
40868,77320,38152,15.40,8.10,14.80,13.00,17.40,52.94,116,27.64,81
40869,77327,42685,22.60,5.40,35.20,18.50,26.90,60.79,138,67.62,174
40870,77328,17208,20.90,5.70,30.70,12.50,23.60,54.16,122,54.79,152
40871,77336,14342,14.70,6.80,13.40,9.90,9.60,38.42,71,19.80,59
40872,77338,48031,19.60,6.30,22.10,16.80,10.00,53.98,120,34.64,109
40873,77339,44538,8.60,5.60,10.80,6.60,4.90,36.18,66,13.63,39
40874,77340,37517,22.20,10.30,15.80,8.40,13.50,61.25,139,14.63,41
40875,77345,27917,4.90,5.30,3.90,1.00,3.10,13.28,6,2.26,4
40876,77346,79538,7.50,4.90,8.10,5.30,5.80,21.95,28,13.20,36
40877,77354,44900,6.30,4.20,11.80,3.00,6.70,23.81,29,17.72,55
40878,77355,32847,8.50,6.10,13.70,3.60,8.00,28.93,44,15.68,47
40879,77356,32583,8.80,2.30,9.40,5.30,4.80,25.61,32,20.89,60
40880,77357,37592,16.30,3.90,28.50,14.10,19.50,47.42,105,55.06,153
40881,77365,46418,11.50,5.30,21.60,11.50,17.10,37.35,69,40.40,123
40882,77372,14367,13.00,4.70,23.50,9.70,20.00,41.52,81,45.46,137
40883,77373,69739,10.70,5.10,16.40,12.40,11.90,35.47,63,31.68,102
40884,77375,72311,10.30,2.80,8.50,7.40,7.60,28.09,40,23.11,71
