id,query,filters,result_count,interpretation,created_at
1,What days should the agency be called?,"{""days"":null,""status_ids"":[1],""interpretation"":""Organizations requiring phone call for hours or availability"",""assistance_types"":null,""related_searches"":[""walk-in resources"",""open today"",""appointment needed""],""requirements_keywords"":[""call for hours""]}",,Organizations requiring phone call for hours or availability,2026-01-26 01:02:44.564542+00
2,assistance that are open on Mondays?,"{""city"":null,""days"":[""Mo""],""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""All resources open on Mondays"",""assistance_types"":null,""related_searches"":[""morning hours on Monday"",""afternoon resources"",""weekend help""],""organization_name"":null,""requirements_keywords"":null}",,All resources open on Mondays,2026-01-26 01:06:00.361974+00
3,"which organizations that provide rent assistance to 77063 are open on Thursdays ","{""days"":[""Th""],""zip_codes"":[""77063""],""status_ids"":[1],""interpretation"":""Rent assistance organizations serving zip code 77063 open on Thursdays"",""assistance_types"":[""Rent""],""related_searches"":[""rent help near me"",""affordable housing 77063"",""eviction prevention services""]}",,Rent assistance organizations serving zip code 77063 open on Thursdays,2026-01-26 01:08:35.69904+00
4,Which organizations are open on Wednesdays,"{""city"":null,""days"":[""We""],""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""All resources open on Wednesdays"",""assistance_types"":null,""related_searches"":[""morning hours Wednesday"",""Saturday alternatives"",""weekend resources""],""organization_name"":null,""requirements_keywords"":null}",,All resources open on Wednesdays,2026-01-26 01:13:40.666849+00
5,organizations open on Monday mornings,"{""city"":null,""days"":[""Mo""],""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":{""type"":""morning""},""neighborhood"":null,""interpretation"":""Organizations open Monday mornings"",""assistance_types"":null,""related_searches"":[""services open weekend"",""Monday afternoon resources"",""walk-in centers Monday morning""],""organization_name"":null,""requirements_keywords"":null}",,Organizations open Monday mornings,2026-01-26 01:20:24.122737+00
6,Food pantries open on Thursdays in 77027,"{""city"":null,""days"":[""Th""],""county"":null,""max_miles"":null,""zip_codes"":[""77027""],""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Food pantries open on Thursdays in zip code 77027"",""assistance_types"":[""Food""],""related_searches"":[""food bank open Saturday"",""groceries near me"",""meal assistance 77027""],""organization_name"":null,""requirements_keywords"":null}",,Food pantries open on Thursdays in zip code 77027,2026-01-26 01:33:03.093784+00
7,vision,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Vision and eye care resources"",""assistance_types"":[""Medical - Primary Care"",""Medical - Equipment""],""related_searches"":[""free eye exam"",""glasses assistance"",""medical equipment for vision""],""organization_name"":null,""requirements_keywords"":[""vision"",""eye"",""glasses"",""eye exam""]}",,Vision and eye care resources,2026-01-27 18:59:52.454029+00
8,vision,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Vision and eye care resources"",""assistance_types"":[""Medical - Primary Care"",""Medical - Mental Health""],""related_searches"":[""low cost eye exam"",""medical equipment for vision"",""eye care for seniors""],""organization_name"":null,""requirements_keywords"":[""vision"",""eye exam"",""glasses""]}",,Vision and eye care resources,2026-01-27 19:00:04.359895+00
9,low cost eye exam,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Low-cost eye examination resources"",""assistance_types"":[""Medical - Primary Care""],""related_searches"":[""affordable vision care"",""free eye screening"",""vision assistance for low income""],""organization_name"":null,""requirements_keywords"":[""low income"",""sliding scale""]}",,Low-cost eye examination resources,2026-01-27 19:00:19.207556+00
10,low cost eye exam,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Low-cost eye examination resources"",""assistance_types"":[""Medical - Primary Care""],""related_searches"":[""vision care for low income"",""free eye checkup"",""affordable glasses""],""organization_name"":null,""requirements_keywords"":[""low income"",""affordable""]}",,Low-cost eye examination resources,2026-01-27 19:00:26.039494+00
