Zip Code,Population,Poverty Rate (%),Median Household Income ($),Income Ratio (vs TX),Unemployment Rate (%),No Health Insurance (%),SNAP Recipients (%),No HS Diploma (%),Vacancy Rate (%),Owner Occupancy Rate (%),No Vehicle (%)
77002,19616,15.6,85436,1.17,3.3,10.8,4.2,14.2,21.6,9.3,15.3
77003,9721,18.7,88837,1.22,6.8,14,12.4,7.3,13.3,45.2,12.6
77004,35866,29.7,65901,0.9,11,13.3,14.5,4.4,11.5,37.7,14
77005,28231,3.6,215708,2.95,4.7,2.6,0.5,1.6,6,72.4,6.2
77006,23927,9.5,102003,1.4,3.9,6.2,2.2,1.6,14,34.9,6.2
77007,45337,5.5,140878,1.93,2.6,6.1,1.8,1.5,8.4,46,2.2
77008,40155,8.3,142414,1.95,2.6,6.4,3.4,4.5,5.8,59,4.6
77009,36107,11.3,81921,1.12,3.6,17.4,11,22.1,14.8,58.7,9.6
77010,620,0,183681,2.51,0,4.8,0,0,33.8,0,7.4
77011,15681,20.5,49163,0.67,8.6,31.9,13.3,40.6,16.7,51.2,14
77012,16780,22.9,48287,0.66,5.2,38.4,18.8,41.4,12.6,41.5,11.5
77013,17680,28.8,44530,0.61,10.4,32.3,23.1,33.5,16.5,40.7,9.3
77014,36314,23.4,54456,0.75,8.9,27,21.1,18.9,8.4,49.9,7.7
77015,58822,16.6,57324,0.78,7.3,29.3,23.9,30.5,8.6,52.4,6
77016,29480,21.7,46411,0.64,12.9,26.1,23.5,24.9,11.9,62.1,8
77017,30797,22.3,53750,0.74,7.7,38.7,24,40.9,8.4,50.8,9.1
77018,29595,8.9,121658,1.67,4.5,11.6,8.6,8,9.1,71.1,4.4
77019,23662,10.1,108353,1.48,6,6.4,4.5,1.6,10.8,41.2,5.1
77020,25583,27.6,49481,0.68,9.5,29.8,22.3,34.7,9.8,52,15.5
77021,24884,28.7,45034,0.62,9.3,20.6,21.1,13.3,14.2,39.8,21.2
77022,26135,26.8,48386,0.66,11.3,31.8,29.6,36.8,14.8,47.9,17.1
77023,24962,19.3,50018,0.68,6.8,23.5,13.7,25.1,13.7,44.4,15.4
77024,37647,5.7,142039,1.94,3.7,4.6,1.9,2.4,13.3,62.1,4.9
77025,29177,11.6,78076,1.07,4.2,8.1,2.9,5.4,9,40.8,13.1
77026,20536,33.2,34835,0.48,10.2,31.9,27.8,30.4,15.9,40.2,16.9
77027,19269,7.8,102861,1.41,3,9,3.1,1.7,14.4,29.2,3
77028,18379,34.4,36244,0.5,12.5,28,38.6,30.6,13,56,10.8
77029,15931,24.5,49601,0.68,9.6,27.3,24.9,38.3,14.3,68.8,7.7
77030,12976,11.7,79415,1.09,3.6,3.5,2,1.3,17.3,35.6,10.9
77031,15740,23.6,46892,0.64,7.6,36.4,20.8,32.5,12.1,44.4,9.1
77032,13536,34.1,36731,0.5,7.1,29.1,39.2,35.9,9.2,34.9,13.6
77033,28079,34,37081,0.51,13.6,30.1,32.4,27.5,8,59.1,8.9
77034,37185,21.8,59516,0.81,6.9,34.4,19.1,30.2,12.6,50.1,7
77035,34849,21.9,57691,0.79,9,22.6,18.1,20.4,10.7,40.6,12.6
77036,71036,28,43853,0.6,5.8,47.8,23.1,45.2,13.6,17.6,20.4
77037,17806,32.9,46176,0.63,2.9,33.5,17,48.7,4.2,71.1,3.9
77038,31271,25.3,50655,0.69,3.8,36.8,23.2,35.2,3.8,57.3,8.2
77039,28335,25,44567,0.61,3.7,36.6,20.3,42.2,7.4,59.9,10.1
77040,50446,19.9,67254,0.92,5.6,20.8,11.3,21.2,4.6,51.8,5.5
77041,33180,13.5,79164,1.08,5.1,21.3,9,16,5.8,72.8,1.2
77042,40725,15.9,57745,0.79,10,26.6,14.1,11.3,10.1,25.7,8.5
77043,26343,14.4,75017,1.03,4.5,21,8.8,15.6,8.4,54.9,6.5
77044,55746,12.7,92416,1.27,7.6,19.3,13.5,15.8,5.5,75.1,4.9
77045,32482,21.8,61166,0.84,9.5,25.3,15.6,26.5,3.7,59.1,5.1
77046,1873,11.2,115516,1.58,0,0.7,1.4,0,13.5,50.7,10.1
77047,35248,11.3,73947,1.01,8.1,16.3,16.3,10.6,3.7,70.6,4.6
77048,20430,27.3,54625,0.75,14,16.5,27,16.9,7.3,58.2,12.2
77049,40373,18.4,70514,0.97,8,26.6,16.7,22.4,5.3,68,4.7
77050,5854,52.3,30346,0.42,5.6,50.6,23.3,45.7,3.6,54.5,3.5
77051,18506,37.7,40030,0.55,19.4,20.8,32.8,22.3,11.9,38.8,17.4
77053,30256,18.2,63739,0.87,7.1,27.4,18.9,27.9,2.8,65.3,3.6
77054,26696,20.8,59087,0.81,5.5,15,7.1,1.9,12.8,11.2,13.9
77055,44088,20.2,73297,1,5.1,26.8,9.4,22.2,9.1,46.3,8.3
77056,23314,8.2,101932,1.4,4.8,9.5,2.4,1.8,16.6,35.4,5.4
77057,45394,17.6,66200,0.91,5,24.7,6,13.1,11.8,31.1,11
77058,18572,12,66471,0.91,4.1,16.2,7.7,5.2,9.6,30.9,5.8
77059,18386,4,166614,2.28,6.6,6.7,0.5,3.4,2.5,94,0.3
77060,44920,35.3,37843,0.52,6.4,44,26.8,44.9,9.2,23,14
77061,24238,21.4,44520,0.61,5.7,32.9,20.3,31.1,11.6,39.4,11.9
77062,24892,9,105824,1.45,6,9.6,7.6,6.7,4.7,75,3.7
77063,39994,18.7,54509,0.75,9.2,24,10.5,7.9,11.4,23.6,12.8
77064,48924,12.2,85318,1.17,5.8,18.9,12.9,17.9,7.9,63.2,2.7
77065,38393,10,75496,1.03,6.7,17.5,11.6,10.5,7.3,45.1,4.4
77066,38315,12.5,83545,1.14,5.2,21.6,15.9,23.4,3.6,74.3,4.1
77067,31800,25.6,51278,0.7,4.6,27.3,27.7,28.4,9.4,44.2,7.8
77068,12289,9.5,85873,1.18,7.2,17.9,5.8,10.7,9.3,70.2,1.8
77069,20935,18.6,73599,1.01,6.5,11.4,7.7,3.9,5.9,62.7,3.6
77070,57645,14.6,72440,0.99,7.2,16.8,10,8.9,6.9,48,5.2
77071,26794,13.4,55147,0.76,10.2,21.2,19.2,18.2,8.4,51.8,11.1
77072,58681,24.4,49893,0.68,6.1,29.6,24.5,29.9,8.3,45.1,11.4
77073,43684,13.2,72271,0.99,4.1,22.5,14.6,21.3,6.3,63,3.4
77074,37467,27.2,47408,0.65,5.7,41.2,20.9,41.2,15.3,32.6,15
77075,41012,15.1,71509,0.98,8.7,27.9,18.4,30.1,6.6,61.4,3.6
77076,32641,27.1,39895,0.55,3.8,37.9,20.6,44.5,8,51.3,10.9
77077,63421,11.8,71080,0.97,6.7,14.5,8.6,5.1,11.3,35.6,8
77078,14705,32.8,38838,0.53,15.9,32.3,35.2,27.1,10.4,58.7,11.3
77079,35540,6.5,103089,1.41,3.7,12.4,6.5,4.3,9.4,50.8,1.9
77080,49064,24.4,63056,0.86,6.5,35,13.5,31.7,9.9,46.5,6
77081,51366,33.5,42228,0.58,5.6,46.4,20.8,44.7,8.6,6.5,18.9
77082,57269,18.4,60510,0.83,6.8,23.9,15.9,12.4,7.6,36.8,9.5
77083,74843,16.4,65349,0.89,7.8,21.3,19.3,21,5.2,65.5,6.4
77084,109115,11.8,76327,1.05,7.2,20.5,13.7,16,7.3,60,4.2
77085,16947,16.4,66651,0.91,2.9,29.4,12.5,33.3,3.2,63.7,4.4
77086,28623,14.9,58184,0.8,8.2,32.4,25.9,29.3,6.4,57.3,7.5
77087,35192,22.4,53624,0.73,8.7,32.6,24,37.1,10.2,55.4,7.2
77088,54115,18.6,52549,0.72,9.7,25.9,20.8,28.3,5.8,65.6,9.9
77089,56607,11.1,87262,1.19,5.2,15.3,12.3,15,6.1,66.1,3.2
77090,41843,20.1,48196,0.66,6.6,20.1,21,11.5,12.5,28,10.4
77091,29135,35.6,35737,0.49,7.5,29.4,30.4,27,11.9,35.2,14.6
77092,36185,20.3,56741,0.78,5.7,33.8,12.1,25,9.7,42,6.7
77093,46091,32.7,41958,0.57,5.7,37.4,25.9,49.1,9,56.8,8.4
77094,10718,7.2,160350,2.2,6.9,6.2,3.6,1.5,3.6,79.5,1.9
77095,69912,5.8,95657,1.31,6.9,10.9,8,7.5,3.7,70.7,1.2
77096,33991,14.1,84395,1.16,4.2,14.9,13.3,9.3,12.8,47.4,8.3
77098,16318,9.3,115867,1.59,4.4,8.8,1.8,1.3,11,33.4,7.3
77099,49271,25.9,48735,0.67,10.2,35.5,22.5,28.8,8,37.2,11.2
77301,36835,17.2,64885,0.89,3.2,25.5,12.9,24.6,6.1,56.3,5.8
77302,19787,13.4,81886,1.12,3.2,20,13.3,8.4,4.3,83.4,3
77303,26324,17.4,72827,1,8.7,22.2,15.8,15.6,7.4,73.1,0.9
77304,42277,8.1,78574,1.08,2.7,15.6,5.1,6.9,4,57.7,4.3
77306,17695,16.6,76411,1.05,2.2,38.4,16.4,37.9,7.6,80.6,0.2
77316,31917,7.4,129418,1.77,5.4,9.4,5.6,3.9,6.4,88.9,1.8
77318,19820,7.5,90246,1.24,3.7,7.5,8.2,9.4,12.7,81.7,2.1
77320,37458,13.9,51765,0.71,6.4,15.9,14.2,18.7,17.6,66,6
77327,37574,21.1,57538,0.79,5.5,32.6,19,25,15.1,81.6,4
77328,17816,24.8,57725,0.79,6.8,30.3,13,24,12.6,77.8,2
77334,211,0,-666666666,-9128.04,0,29.9,74.1,0,0,74.1,0
77336,12510,16.3,83267,1.14,6.1,13.6,10,12.8,15.4,78.5,3.6
77338,47335,17,68808,0.94,5.4,22.2,16.3,12.7,5.3,51.2,5.6
77339,43364,8.8,84015,1.15,6.2,9.3,7.1,4.5,7.8,57.9,7.3
77340,35439,22.8,46878,0.64,9,14.1,8.7,11.1,14.2,47.5,5.9
77341,0,-666666666,-666666666,-9128.04,-666666666,-666666666,-666666666,-1333333332,-666666666,-666666666,-666666666
77342,0,-666666666,-666666666,-9128.04,-666666666,-666666666,-666666666,-1333333332,-666666666,-666666666,-666666666
77345,27574,3.6,156844,2.15,4.4,3.8,1.7,3.1,4.1,85.7,2
77346,75577,7.1,116658,1.6,5.4,7.7,5.2,6.2,3.4,82.7,1.7
77354,40501,7.5,112093,1.53,3.6,11.5,3.4,7,11.3,79.5,1.6
77355,31727,7.6,101270,1.39,5.8,13.3,5.7,11.1,3.9,82.5,1.9
77356,31069,7.1,113750,1.56,1.3,8.2,4.5,4.6,14,82.4,4.8
77357,34770,15.1,73773,1.01,4,28.9,15.4,19.7,12,75.6,2.4
77358,5565,10.6,79018,1.08,3.6,11.3,9.2,9.4,18.1,75.8,12.9
77362,7474,13.3,80982,1.11,4.3,22.2,13,6.8,4.8,87.9,11.4
77363,3246,10,78667,1.08,10.4,13.4,15.6,22.3,12.9,86.5,1.1
77365,43025,10.6,96093,1.32,5.9,20,10.8,17.9,5.9,80.9,1
77367,634,7.4,73923,1.01,6.3,14.2,4.7,11,19.9,57,0
