id_no,client_zip_codes,organization,org_address1,org_address2,org_city,org_state,org_zip_code,org_telephone,org_coordinates,org_hours,hours_notes,assist_id,assistance,status_id,status,status_date,status_text,requirements,is_first_bold,is_first_red,webpage,googlemaps,org_email,org_county,zip_neighborhoods,org_parent,org_neighborhood
1,"[""77002"", ""77003"", ""77004"", ""77005"", ""77006"", ""77007"", ""77008"", ""77009"", ""77010"", ""77011"", ""77012"", ""77013"", ""77014"", ""77015"", ""77016"", ""77017"", ""77018"", ""77019"", ""77020"", ""77021"", ""77022"", ""77023"", ""77024"", ""77025"", ""77026"", ""77027"", ""77028"", ""77029"", ""77030"", ""77031"", ""77032"", ""77033"", ""77034"", ""77035"", ""77036"", ""77037"", ""77038"", ""77039"", ""77040"", ""77041"", ""77042"", ""77043"", ""77044"", ""77045"", ""77046"", ""77047"", ""77048"", ""77049"", ""77050"", ""77051"", ""77053"", ""77054"", ""77055"", ""77056"", ""77057"", ""77058"", ""77059"", ""77060"", ""77061"", ""77062"", ""77063"", ""77064"", ""77065"", ""77066"", ""77067"", ""77068"", ""77069"", ""77070"", ""77071"", ""77072"", ""77073"", ""77074"", ""77075"", ""77076"", ""77077"", ""77078"", ""77079"", ""77080"", ""77081"", ""77082"", ""77083"", ""77084"", ""77085"", ""77086"", ""77087"", ""77088"", ""77089"", ""77090"", ""77091"", ""77092"", ""77093"", ""77094"", ""77095"", ""77096"", ""77098"", ""77099"", ""77242"", ""77257"", ""77277"", ""77279"", ""77336"", ""77338"", ""77339"", ""77345"", ""77346"", ""77347"", ""77357"", ""77365"", ""77373"", ""77375"", ""77377"", ""77379"", ""77383"", ""77387"", ""77388"", ""77389"", ""77393"", ""77396"", ""77401"", ""77406"", ""77407"", ""77410"", ""77417"", ""77423"", ""77429"", ""77430"", ""77433"", ""77441"", ""77444"", ""77447"", ""77449"", ""77450"", ""77451"", ""77459"", ""77461"", ""77464"", ""77469"", ""77471"", ""77476"", ""77477"", ""77478"", ""77479"", ""77481"", ""77484"", ""77485"", ""77489"", ""77493"", ""77494"", ""77498"", ""77501"", ""77502"", ""77503"", ""77504"", ""77505"", ""77506"", ""77507"", ""77508"", ""77520"", ""77521"", ""77530"", ""77532"", ""77535"", ""77536"", ""77545"", ""77546"", ""77547"", ""77562"", ""77571"", ""77581"", ""77583"", ""77584"", ""77586"", ""77587"", ""77598""]","3 ""A"" Bereavement Foundation (3ABF)",5330 Griggs Road,Suite A108,Houston,TX,77021,713-649-3232,"29.6967871212121, -95.3336860909091","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""09:00"",""close"":""17:00""}]}",,65,Other,1,ACTIVE,05/12/2025,Verified online,"Financial assistance for funeral services.  Needs based.  Financial verification required.
Funeral consultations.
Grief counseling.
Aftercare services",FALSE,FALSE,https://3abereavement.weebly.com/,"https://www.google.com/maps/place/Three+A+Bereavement/@29.6962313,-95.3378945,16z/data=!3m1!4b1!4m6!3m5!1s0x8640be3dadb801b5:0x44b0b287f8f22ef6!8m2!3d29.6962267!4d-95.3353142!16s%2Fg%2F1tlqqcg1?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",,Harris,"MacGregor, Riverside Terrace, South Side","3 ""A"" Bereavement Foundation (3ABF)",South Side
2,"[""99999""]",A Touch of God's Love Outreach,10103 Fondren Road,Suit 420,Houston,TX,77096,346-701-8094,"29.669937, -95.508457",,,56,Veterans,3,INACTIVE,01/13/2025,Phone disconnected,"Financial assistance with utilities, food, Medical - Primary Care and Handyman for Veterans, Senior Citizens and Disabled",FALSE,FALSE,,https://maps.google.com/?q=A%20Touch%20of%20God's%20Love%20Outreach%2010103%20Fondren%20Suite%20420%20Houston%20TX%2077096,,Harris,"Brays Oaks, Meyerland, Westbury, Willow Meadows",A Touch of God's Love Outreach,Brays Oaks
3,"[""99999""]",AAMA George L Sanchez Charter School North,170 Rittenhouse Street,,Houston,TX,77076,832-622-0685,"29.863906955714647, -95.37843356123234","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":null,""close"":null}]}",,43,Education - Children,1,ACTIVE,08/24/2025,,"Middle thru High School.
Free Tuition which includes free breakfast and lunch.
Apply online",FALSE,FALSE,https://www.aama.org/apps/pages/george-i-sanchez-charter-schools,"https://www.google.com/maps/place/Sanchez+Charter+Middle+and+High+School/@29.8635627,-95.3810943,16z/data=!3m1!4b1!4m6!3m5!1s0x8640b80004692007:0x8f00566854f63014!8m2!3d29.8635581!4d-95.3785194!16s%2Fg%2F11c600mkxz?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D",,Harris,"Independence Heights, Northline, Northside / Northline",Association for Advancement of Mexican Americans (AAMA),Northside / Northline
4,"[""99999""]",AAMA George L Sanchez Charter School South,6001 Gulf Fwy,,Houston,TX,77023,832-622-0685,"29.714369469154935, -95.3121463531626","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":null,""close"":null}]}",,43,Education - Children,1,ACTIVE,08/24/2025,,"Elementary thru High School.
Free Tuition which includes free breakfast and lunch.
Apply online",FALSE,FALSE,https://www.aama.org/apps/pages/george-i-sanchez-charter-schools,"https://www.google.com/maps/place/AAMA/@29.7143334,-95.3127981,19z/data=!3m1!4b1!4m6!3m5!1s0x8640bfd5e8dcfca9:0x894a10d39493d560!8m2!3d29.7143322!4d-95.3121544!16s%2Fg%2F11sszckmnd?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D",,Harris,"Eastwood, Gulfgate Riverview / Pine Valley, Idylwood, Lawndale / Wayside, Magnolia Park, South Central Houston",Association for Advancement of Mexican Americans (AAMA),Lawndale / Wayside
5,"[""99999""]",Ability Found,2324 S Constitution Blvd,,West Valley City,UT,84119,801-505-0529,"40.72037806604348, -111.95827946249824","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":null,""close"":null}]}",Apply online,31,Medical - Primary Care,1,ACTIVE,01/23/2026,Verified online,"Provides mobility equipment at a low cost fee.
Equipment is customized for the needs of the individual.
They do not provide medical supplies or financial assistance.
Requests should be submitted online by a physical therapist if you have one, otherwise contact the organization directly thru their website.
",FALSE,FALSE,https://abilityfound.org/pages/need-help,"https://www.google.com/maps/place/Ability+Found+Charity/@40.7202562,-111.9631665,17z/data=!3m1!4b1!4m6!3m5!1s0x87528a2b55962c8f:0x4d686ad30de1f05d!8m2!3d40.7202563!4d-111.9582902!16s%2Fg%2F1vzv443n?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,Salt Lake,West Valley City,Ability Found,West Valley City
6,"[""77418"", ""77452"", ""77474""]",AccessHealth Bellville WIC Center,800 E Wendt Street,,Bellville,TX,77418,979-865-9140,"29.9396576157338, -96.2537193375798","{""regular"":[{""days"":[""Mo"",""Tu"",""Th""],""open"":""08:00"",""close"":""17:30""}]}",,44,Mother & Child,1,ACTIVE,06/23/2025,Verified online,"WIC is a special supplemental nutrition program for women, infants and children.  It is a nutrition program for pregnant, breastfeeding women and families with children younger than 5 years old.
To qualify you must meet income guidelines but if you receive Medicaid, SNAP or TANF, then you already meet the income eligibility guidelines for WIC.
AccessHealth is a private, not-for-profit organization and a Federally Qualified Health Center.  It's primary focus is the low-income population of Fort Bend and Waller counties but will not turn anyone away, regardless of income or circumstance.
Fee based group sessions for Family Violence Intervention and Prevention and Anger Management Programs.
",FALSE,FALSE,https://www.myaccesshealth.org/,"https://www.google.com/maps/place/Access+Health+Bellville+WIC+Clinic/@29.9400956,-96.2564832,16z/data=!3m1!4b1!4m6!3m5!1s0x86415214a20f7165:0x9a29241743df954d!8m2!3d29.940091!4d-96.2539029!16s%2Fg%2F11bzsdntr2?entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",,Austin,Bellville,AccessHealth,Bellville
7,"[""77053"", ""77406"", ""77407"", ""77417"", ""77423"", ""77430"", ""77441"", ""77444"", ""77451"", ""77459"", ""77461"", ""77464"", ""77469"", ""77471"", ""77476"", ""77477"", ""77478"", ""77479"", ""77481"", ""77485"", ""77489"", ""77494"", ""77498"", ""77545"", ""77583"", ""77584""]",AccessHealth Brookshire Clinic,533 FM 359 S,,Brookshire,TX,77423,281-342-4530,"29.77434, -95.950801","{""regular"":[{""days"":[""Mo"",""Tu"",""We""],""open"":""07:00"",""close"":""17:30""},{""days"":[""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,31,Medical - Primary Care,1,ACTIVE,06/23/2025,Verified online,"Family medicine, primary care, adults, women's health, pediatric, counseling and mental health, pharmacy, immunizations, Lab, OB.GYN, Hepatitis testing and treatment, substance abuse and addiction.
AccessHealth is a private, not-for-profit organization and a Federally Qualified Health Center.  It's primary focus is the low-income population of Fort Bend and Waller counties but will not turn anyone away, regardless of income or circumstance.
Sliding scale of fee based on income.",FALSE,FALSE,https://www.myaccesshealth.org/,"https://www.google.com/maps/place/AccessHealth+Brookshire+Clinic/@29.774261,-95.9528807,17z/data=!3m1!4b1!4m6!3m5!1s0x86413ba32ec6aa43:0xecb591ea00b3e4b5!8m2!3d29.7742564!4d-95.9503004!16s%2Fg%2F11hc_k0k4f?entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",,Waller,Brookshire,AccessHealth,Brookshire
8,"[""77053"", ""77406"", ""77407"", ""77417"", ""77423"", ""77430"", ""77441"", ""77444"", ""77451"", ""77459"", ""77461"", ""77464"", ""77469"", ""77471"", ""77476"", ""77477"", ""77478"", ""77479"", ""77481"", ""77485"", ""77489"", ""77494"", ""77498"", ""77545"", ""77583"", ""77584""]",AccessHealth Brookshire WIC Center,531 FM 359 S,,Brookshire,TX,77423,281-822-4242,"29.774335, -95.951041","{""regular"":[{""days"":[""Mo"",""We"",""Th""],""open"":""08:00"",""close"":""17:30""},{""days"":[""Tu""],""open"":""08:00"",""close"":""18:00""},{""days"":[""Fr""],""open"":""08:00"",""close"":""13:30""}]}",,44,Mother & Child,1,ACTIVE,06/23/2025,Verified online,"WIC is a special supplemental nutrition program for women, infants and children.  It is a nutrition program for pregnant, breastfeeding women and families with children younger than 5 years old.
To qualify you must meet income guidelines but if you receive Medicaid, SNAP or TANF, then you already meet the income eligibility guidelines for WIC.
AccessHealth is a private, not-for-profit organization and a Federally Qualified Health Center.  It's primary focus is the low-income population of Fort Bend and Waller counties but will not turn anyone away, regardless of income or circumstance.
",FALSE,FALSE,https://www.myaccesshealth.org/,"https://www.google.com/maps/place/Access+Health+Brookshire+WIC+Clinic/@29.7743128,-95.9532197,17z/data=!3m1!4b1!4m6!3m5!1s0x86413ba32420529b:0x5798dda56f02582e!8m2!3d29.7743082!4d-95.9506394!16s%2Fg%2F11hcd_dmqz?entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",,Waller,Brookshire,AccessHealth,Brookshire
9,"[""77053"", ""77406"", ""77407"", ""77417"", ""77423"", ""77430"", ""77441"", ""77444"", ""77451"", ""77459"", ""77461"", ""77464"", ""77469"", ""77471"", ""77476"", ""77477"", ""77478"", ""77479"", ""77481"", ""77485"", ""77489"", ""77494"", ""77498"", ""77545"", ""77583"", ""77584""]",AccessHealth East Fort Bend Clinic,7707 Highway 6 South,,Missouri City,TX,77459,281-342-4530,"29.55004371572688, -95.54838500791375","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th""],""open"":""08:00"",""close"":""17:00""}]}",,31,Medical - Primary Care,1,ACTIVE,06/23/2025,Verified online,"Family medicine, primary care, adults, women's health, pediatric, counseling and mental health, pharmacy, immunizations, Lab, OB.GYN, Hepatitis testing and treatment, substance abuse and addiction.
AccessHealth is a private, not-for-profit organization and a Federally Qualified Health Center.  It's primary focus is the low-income population of Fort Bend and Waller counties but will not turn anyone away, regardless of income or circumstance.
Sliding scale of fee based on income.",FALSE,FALSE,https://www.myaccesshealth.org/,"https://www.google.com/maps/place/AccessHealth+East+Fort+Bend/@29.5498337,-95.5509975,17z/data=!3m1!4b1!4m6!3m5!1s0x8640ef623897ab5b:0x45df221a3b363090!8m2!3d29.5498291!4d-95.5484172!16s%2Fg%2F11g3zk_tqr?entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",,Fort Bend,"Missouri City, Plantation Park, Sienna",AccessHealth,Missouri City
10,"[""77445"", ""77446"", ""77466"", ""77492""]",AccessHealth Hempstead WIC Center,1737 13th Street,,Hempstead,TX,77445,979-557-2860,"30.0888023601738, -96.0826334225169","{""regular"":[{""days"":[""Mo"",""Tu""],""open"":""08:00"",""close"":""18:00""},{""days"":[""We"",""Th""],""open"":""08:00"",""close"":""17:30""},{""days"":[""Fr""],""open"":""08:00"",""close"":""13:00""}]}",,44,Mother & Child,1,ACTIVE,06/23/2025,Verified online,"WIC is a special supplemental nutrition program for women, infants and children.  It is a nutrition program for pregnant, breastfeeding women and families with children younger than 5 years old.
To qualify you must meet income guidelines but if you receive Medicaid, SNAP or TANF, then you already meet the income eligibility guidelines for WIC.
AccessHealth is a private, not-for-profit organization and a Federally Qualified Health Center.  It's primary focus is the low-income population of Fort Bend and Waller counties but will not turn anyone away, regardless of income or circumstance.
",FALSE,FALSE,https://www.myaccesshealth.org/,"https://www.google.com/maps/place/Access+Health+Hempstead+WIC+Clinic/@30.0885994,-96.0854671,17z/data=!3m1!4b1!4m6!3m5!1s0x8646cbf2bdd604ed:0x3871c5dc9c88752f!8m2!3d30.0885948!4d-96.0828868!16s%2Fg%2F11c80c5pwh?entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",,Waller,"Hempstead, Northside",AccessHealth,Hempstead
11,"[""77053"", ""77406"", ""77407"", ""77417"", ""77423"", ""77430"", ""77441"", ""77444"", ""77451"", ""77459"", ""77461"", ""77464"", ""77469"", ""77471"", ""77476"", ""77477"", ""77478"", ""77479"", ""77481"", ""77485"", ""77489"", ""77494"", ""77498"", ""77545"", ""77583"", ""77584""]",AccessHealth Katy WIC Center,1260 Pin Oak Road,Suite 110,Katy,TX,77494,281-391-4168,"29.7721292, -95.8181261","{""regular"":[{""days"":[""Mo""],""open"":""08:00"",""close"":""19:00""},{""days"":[""Tu"",""We"",""Th""],""open"":""08:00"",""close"":""17:00""},{""days"":[""Fr""],""open"":""08:00"",""close"":""12:00""}]}",,44,Mother & Child,1,ACTIVE,06/23/2025,Verified online,"WIC is a special supplemental nutrition program for women, infants and children.  It is a nutrition program for pregnant, breastfeeding women and families with children younger than 5 years old.
To qualify you must meet income guidelines but if you receive Medicaid, SNAP or TANF, then you already meet the income eligibility guidelines for WIC.
AccessHealth is a private, not-for-profit organization and a Federally Qualified Health Center.  It's primary focus is the low-income population of Fort Bend and Waller counties but will not turn anyone away, regardless of income or circumstance.
",FALSE,FALSE,https://www.myaccesshealth.org/,"https://www.google.com/maps/place/Access+Health+Katy+WIC+Clinic/@29.7715667,-95.8211363,17z/data=!3m2!4b1!5s0x8641241ea38f160d:0x1f5667d0be90dcb3!4m6!3m5!1s0x8641241ea41aa14b:0xbfb6bd3112b944c4!8m2!3d29.7715621!4d-95.818556!16s%2Fg%2F1tkb5hd8?entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",,Fort Bend,"Cinco Ranch West, Firethorne, Katy, Seven Meadows",AccessHealth,Katy
